Subset_ID,Sv0,Sv1,Sv2,Sv3,Sv4,Sv5,Sv6,Sv7,Sv8,Sv9
0,1827.9088209077283,6681.445420690219,6681.445420690219,6681.445420690219,6681.445420690219,6683.7805699897335,6683.7805699897335,6683.7805699897335,6683.7805699897335,6683.7805699897335
1,6733.0013514402135,1862.2273070562314,6733.0013514402135,6733.0013514402135,6733.0013514402135,6735.453246343357,6735.453246343357,6735.453246343357,6735.453246343357,6735.453246343357
2,6613.405299681852,6613.405299681852,1824.3524003086457,6613.405299681852,6613.405299681852,6615.867800970125,6615.867800970125,6615.867800970125,6615.867800970125,6615.867800970125
3,6653.0505796892685,6653.0505796892685,6653.0505796892685,1837.9849558898768,6653.0505796892685,6655.464402891296,6655.464402891296,6655.464402891296,6655.464402891296,6655.464402891296
4,6573.334872535328,6573.334872535328,6573.334872535328,6573.334872535328,1814.7659151484856,6575.528208685312,6575.528208685312,6575.528208685312,6575.528208685312,6575.528208685312
5,6698.245772176195,6698.245772176195,6698.245772176195,6698.245772176195,6698.245772176195,1842.556551457679,6700.805168660571,6700.805168660571,6700.805168660571,6700.805168660571
6,6646.549008401221,6646.549008401221,6646.549008401221,6646.549008401221,6646.549008401221,6649.026862703978,1848.4952286525304,6649.026862703978,6649.026862703978,6649.026862703978
7,6656.554709962959,6656.554709962959,6656.554709962959,6656.554709962959,6656.554709962959,6658.759062295948,6658.759062295948,1830.681174766864,6658.759062295948,6658.759062295948
8,6624.134107081177,6624.134107081177,6624.134107081177,6624.134107081177,6615.423426172438,6626.454564475829,6626.454564475829,6626.454564475829,1826.5604340104337,6626.454564475829
9,6686.8070260096565,6686.8070260096565,6686.8070260096565,6686.8070260096565,6688.866640683919,6688.866640683919,6688.866640683919,6688.866640683919,6688.866640683919,1872.664852461837
