Subset_ID,Shapely_Value
0,6654.076713748492
1,6624.173175382611
2,6628.826028481698
3,6610.604173062291
4,6647.503120081989
5,6634.275284912416
6,6598.828759794635
7,4022.237760671142
8,6639.255528096366
9,6655.600560378592
