Subset_ID,Sv0,Sv1,Sv2,Sv3,Sv4,Sv5,Sv6,Sv7,Sv8,Sv9
0,2495.6640328435406,6664.173368088845,6664.173368088845,6664.173368088845,6664.173368088845,6666.882805788555,6666.882805788555,6666.882805788555,6666.882805788555,6666.882805788555
1,6641.324058149739,2505.597881788239,6641.324058149739,6641.324058149739,6641.324058149739,6643.971140279333,6643.971140279333,6643.971140279333,6643.971140279333,6643.971140279333
2,6680.67899783218,6680.67899783218,2524.7665836872065,6680.67899783218,6680.67899783218,6683.22178750424,6683.22178750424,6683.22178750424,6683.22178750424,6683.22178750424
3,6682.426471800735,6682.426471800735,6682.426471800735,2514.5365030143103,6682.426471800735,6685.209281278373,6685.209281278373,6685.209281278373,6685.209281278373,6685.209281278373
4,6710.8649661252475,6710.8649661252475,6710.8649661252475,6710.8649661252475,2476.763334341199,6713.88194028113,6713.88194028113,6713.88194028113,6713.88194028113,6713.88194028113
5,6606.6070307079235,6606.6070307079235,6606.6070307079235,6606.6070307079235,6606.6070307079235,2472.93264107904,6609.281008277933,6609.281008277933,6609.281008277933,6609.281008277933
6,6681.97049142058,6681.97049142058,6681.97049142058,6681.97049142058,6681.97049142058,6684.490357070765,2494.9320134464,6684.490357070765,6684.490357070765,6684.490357070765
7,6710.509600475975,6710.509600475975,6710.509600475975,6710.509600475975,6710.509600475975,6713.268524776173,6713.268524776173,2547.0730615371067,6713.268524776173,6713.268524776173
8,6611.101045986877,6611.101045986877,6611.101045986877,6611.101045986877,6610.8528409264645,6614.109710538003,6614.109710538003,6614.109710538003,2499.80898947841,6614.109710538003
9,6627.4713051304125,6627.4713051304125,6627.4713051304125,6627.4713051304125,6630.165468604186,6630.165468604186,6630.165468604186,6630.165468604186,6630.165468604186,2494.4571197118903
