Subset_ID,Sv0,Sv1,Sv2,Sv3,Sv4,Sv5,Sv6,Sv7,Sv8,Sv9
0,2055.631129372678,6674.946604783235,6674.946604783235,6674.946604783235,6674.946604783235,6674.946604783235,6674.946604783235,6674.946604783235,6674.946604783235,6674.946604783235
1,6730.749646751517,2119.2368446698138,6730.749646751517,6730.749646751517,6730.749646751517,6730.749646751517,6730.749646751517,6730.749646751517,6730.749646751517,6730.749646751517
2,6609.488423086482,6609.488423086482,2098.212617614711,6609.488423086482,6609.488423086482,6609.488423086482,6609.488423086482,6609.488423086482,6609.488423086482,6609.488423086482
3,6658.372448453597,6658.372448453597,6658.372448453597,2061.1569597122016,6658.372448453597,6658.372448453597,6658.372448453597,6658.372448453597,6658.372448453597,6658.372448453597
4,6576.886830944023,6576.886830944023,6576.886830944023,6576.886830944023,2069.233487057116,6576.886830944023,6576.886830944023,6576.886830944023,6576.886830944023,6576.886830944023
5,6692.673187235803,6692.673187235803,6692.673187235803,6692.673187235803,6692.673187235803,2053.9899175347687,6692.673187235803,6692.673187235803,6692.673187235803,6692.673187235803
6,6636.243664306674,6636.243664306674,6636.243664306674,6636.243664306674,6636.243664306674,6636.243664306674,2103.368873873249,6636.243664306674,6636.243664306674,6636.243664306674
7,6679.433103039581,6679.433103039581,6679.433103039581,6679.433103039581,6679.433103039581,6679.433103039581,6679.433103039581,2088.8044200484733,6679.433103039581,6679.433103039581
8,6694.996935862412,6694.996935862412,6694.996935862412,6694.996935862412,6694.996935862412,6694.996935862412,6694.996935862412,6694.996935862412,2090.038112036236,6694.996935862412
9,6662.626446052353,6662.626446052353,6662.626446052353,6662.626446052353,6662.626446052353,6662.626446052353,6662.626446052353,6662.626446052353,6662.626446052353,2076.6737809771894
