Subset_ID,Sv0,Sv1,Sv2,Sv3,Sv4,Sv5,Sv6,Sv7,Sv8,Sv9
0,725.9043213454329,6709.0512895374495,6709.0512895374495,6709.0512895374495,6705.981869855996,6705.981869855996,6705.981869855996,6705.981869855996,6705.981869855996,6705.981869855996
1,6678.517531273731,723.9810133985408,6678.517531273731,6678.517531273731,6676.046712266869,6676.046712266869,6676.046712266869,6676.046712266869,6676.046712266869,6676.046712266869
2,6595.31646865163,6595.31646865163,722.3608184298762,6595.31646865163,6592.888481970689,6592.888481970689,6592.888481970689,6592.888481970689,6592.888481970689,6592.888481970689
3,6675.894437363308,6675.894437363308,6675.894437363308,714.9693896279325,6672.410899173726,6672.410899173726,6672.410899173726,6672.410899173726,6672.410899173726,6672.410899173726
4,6692.94805189321,6692.94805189321,6692.94805189321,6692.94805189321,714.6261815513915,6690.371358673242,6690.371358673242,6690.371358673242,6690.371358673242,6690.371358673242
5,6638.494630278161,6638.494630278161,6638.494630278161,6638.494630278161,6635.614442054076,713.538501413072,6635.614442054076,6635.614442054076,6635.614442054076,6635.614442054076
6,6642.251609817538,6642.251609817538,6642.251609817538,6642.251609817538,6639.219232253823,6639.219232253823,719.5202223717442,6639.219232253823,6639.219232253823,6639.219232253823
7,6656.545993349264,6656.545993349264,6656.545993349264,6656.545993349264,6654.152076562982,6654.152076562982,6654.152076562982,707.2478727219801,6654.152076562982,6654.152076562982
8,6605.7234480759835,6605.7234480759835,6605.7234480759835,6605.7234480759835,6602.802829974384,6602.802829974384,6602.802829974384,6602.802829974384,711.7908169976632,6602.802829974384
9,6635.899179491031,6635.899179491031,6635.899179491031,6633.917893208511,6633.174800535948,6633.174800535948,6633.174800535948,6633.174800535948,6633.174800535948,714.3374701651973
