Subset_ID,Sv0,Sv1,Sv2,Sv3,Sv4,Sv5,Sv6,Sv7,Sv8,Sv9
0,2320.096184597869,6651.535720895576,6651.535720895576,6651.535720895576,6651.535720895576,6649.0958890886595,6649.0958890886595,6649.0958890886595,6649.0958890886595,6649.0958890886595
1,6642.663361893229,2337.091690718821,6642.663361893229,6642.663361893229,6642.663361893229,6640.639147646395,6640.639147646395,6640.639147646395,6640.639147646395,6640.639147646395
2,6669.231512966845,6669.231512966845,2338.342835124603,6669.231512966845,6669.231512966845,6666.432707463075,6666.432707463075,6666.432707463075,6666.432707463075,6666.432707463075
3,6683.057987379595,6683.057987379595,6683.057987379595,2341.451289280795,6683.057987379595,6680.278673337482,6680.278673337482,6680.278673337482,6680.278673337482,6680.278673337482
4,6600.787054562547,6600.787054562547,6600.787054562547,6600.787054562547,2273.8274450288386,6598.251999809496,6598.251999809496,6598.251999809496,6598.251999809496,6598.251999809496
5,6675.1560088864735,6675.1560088864735,6675.1560088864735,6675.1560088864735,6675.1560088864735,2343.6553750911935,6672.298538001013,6672.298538001013,6672.298538001013,6672.298538001013
6,6728.509042286165,6728.509042286165,6728.509042286165,6728.509042286165,6728.509042286165,6725.386358037509,2339.084317574133,6725.386358037509,6725.386358037509,6725.386358037509
7,6619.150176285001,6619.150176285001,6619.150176285001,6619.150176285001,6619.150176285001,6616.970902094881,6616.970902094881,2296.117294810281,6616.970902094881,6616.970902094881
8,6683.243655474781,6683.243655474781,6683.243655474781,6683.243655474781,6680.819959393852,6680.572484535174,6680.572484535174,6680.572484535174,2347.446983577307,6680.572484535174
9,6690.207751676157,6690.207751676157,6690.207751676157,6690.207751676157,6687.200635704958,6687.200635704958,6687.200635704958,6687.200635704958,6687.200635704958,2348.446896989563
