Subset_ID,Sv0,Sv1,Sv2,Sv3,Sv4,Sv5,Sv6,Sv7,Sv8,Sv9
0,158.09753879028332,6725.28771434507,6725.28771434507,6725.28771434507,6725.28771434507,6725.28771434507,6725.28771434507,6725.28771434507,6725.28771434507,6725.28771434507
1,6661.247169509004,153.1388533724355,6661.247169509004,6661.247169509004,6661.247169509004,6661.247169509004,6661.247169509004,6661.247169509004,6661.247169509004,6661.247169509004
2,6596.637684428573,6596.637684428573,164.01186297418218,6596.637684428573,6596.637684428573,6596.637684428573,6596.637684428573,6596.637684428573,6596.637684428573,6596.637684428573
3,6590.296295218685,6590.296295218685,6590.296295218685,167.54854705056175,6590.296295218685,6590.296295218685,6590.296295218685,6590.296295218685,6590.296295218685,6590.296295218685
4,6656.209884630251,6656.209884630251,6656.209884630251,6656.209884630251,160.76126120785932,6656.209884630251,6656.209884630251,6656.209884630251,6656.209884630251,6656.209884630251
5,6714.783351684189,6714.783351684189,6714.783351684189,6714.783351684189,6714.783351684189,165.26376147047674,6714.783351684189,6714.783351684189,6714.783351684189,6714.783351684189
6,6621.717440829147,6621.717440829147,6621.717440829147,6621.717440829147,6621.717440829147,6621.717440829147,155.46296205401296,6621.717440829147,6621.717440829147,6621.717440829147
7,6617.291588062116,6617.291588062116,6617.291588062116,6617.291588062116,6617.291588062116,6617.291588062116,6617.291588062116,155.04873971139554,6617.291588062116,6617.291588062116
8,6648.2254583962085,6648.2254583962085,6648.2254583962085,6648.2254583962085,6648.2254583962085,6648.2254583962085,6648.2254583962085,6648.2254583962085,166.01859157853943,6648.2254583962085
9,6616.143158036571,6616.143158036571,6616.143158036571,6616.143158036571,6616.143158036571,6616.143158036571,6616.143158036571,6616.143158036571,6616.143158036571,155.44011849845285
