Subset_ID,Sv0,Sv1,Sv2,Sv3,Sv4,Sv5,Sv6,Sv7,Sv8,Sv9
0,6137.6862052690185,6661.521837908077,6661.521837908077,6661.521837908077,6661.521837908077,6661.521837908077,6661.521837908077,6661.521837908077,6661.521837908077,6664.099957857484
1,6707.73070042618,6152.578853281419,6707.73070042618,6707.73070042618,6707.73070042618,6707.73070042618,6707.73070042618,6707.73070042618,6707.73070042618,6710.387744610141
2,6669.745783755137,6669.745783755137,6124.708670208171,6669.745783755137,6669.745783755137,6669.745783755137,6669.745783755137,6669.745783755137,6669.745783755137,6672.24103040751
3,6663.279305637372,6663.279305637372,6663.279305637372,6108.463013254034,6663.279305637372,6663.279305637372,6663.279305637372,6663.279305637372,6663.279305637372,6665.440538766864
4,6662.67368279637,6662.67368279637,6662.67368279637,6662.67368279637,6102.455129142678,6662.67368279637,6662.67368279637,6662.67368279637,6662.67368279637,6665.108473723906
5,6698.399121298367,6698.399121298367,6698.399121298367,6698.399121298367,6698.399121298367,6155.864125989466,6698.399121298367,6698.399121298367,6698.399121298367,6700.954567689977
6,6620.950285071717,6620.950285071717,6620.950285071717,6620.950285071717,6620.950285071717,6620.950285071717,6093.4685120594495,6620.950285071717,6620.950285071717,6623.348836692655
7,6687.3470574105495,6687.3470574105495,6687.3470574105495,6687.3470574105495,6687.3470574105495,6687.3470574105495,6687.3470574105495,6153.400756040859,6687.3470574105495,6689.803145761896
8,6643.00523765383,6643.00523765383,6643.00523765383,6643.00523765383,6643.00523765383,6643.00523765383,6643.00523765383,6643.00523765383,6107.497339642455,6645.199127460525
9,6685.634453615383,6685.634453615383,6685.634453615383,6685.634453615383,6685.634453615383,6685.634453615383,6685.634453615383,6685.634453615383,6685.815239442372,6149.332735848643
