Subset_ID,Shapely_Value
0,6654.076713748492
1,6624.173175382611
2,6628.826028481698
3,6615.154465339901
4,4024.6041197129216
5,6630.912419176342
6,6595.413851457744
7,6634.438551955103
8,6635.700176327492
9,6652.25322345078
