Subset_ID,Sv0,Sv1,Sv2,Sv3,Sv4,Sv5,Sv6,Sv7,Sv8,Sv9
0,1377.8823430114307,6656.548546106194,6656.548546106194,6656.548546106194,6656.548546106194,6648.994006861568,6648.994006861568,6648.994006861568,6648.994006861568,6648.994006861568
1,6644.5419767443445,1337.1114453456814,6644.5419767443445,6644.5419767443445,6644.5419767443445,6637.446993351418,6637.446993351418,6637.446993351418,6637.446993351418,6637.446993351418
2,6614.967973137305,6614.967973137305,1357.937618070843,6614.967973137305,6614.967973137305,6607.524663306085,6607.524663306085,6607.524663306085,6607.524663306085,6607.524663306085
3,6674.014907013623,6674.014907013623,6674.014907013623,1348.2721900856625,6662.021586177403,6664.795516845867,6664.795516845867,6664.795516845867,6664.795516845867,6664.795516845867
4,6703.8534267742325,6703.8534267742325,6703.8534267742325,6703.8534267742325,1391.1595874094546,6696.9475637129635,6696.9475637129635,6696.9475637129635,6696.9475637129635,6696.9475637129635
5,6624.6591299060165,6624.6591299060165,6624.6591299060165,6624.6591299060165,6616.337440693379,1350.1438063110315,6616.337440693379,6616.337440693379,6616.337440693379,6616.337440693379
6,6688.923933301484,6688.923933301484,6688.923933301484,6688.923933301484,6681.80576824545,6681.80576824545,1361.339523260081,6681.80576824545,6681.80576824545,6681.80576824545
7,6651.141311734837,6651.141311734837,6651.141311734837,6651.141311734837,6643.943710159577,6643.943710159577,6643.943710159577,1356.3136545429822,6643.943710159577,6643.943710159577
8,6646.822557981528,6646.822557981528,6646.822557981528,6646.822557981528,6638.954519905617,6638.954519905617,6638.954519905617,6638.954519905617,1368.3029149578829,6638.954519905617
9,6681.35348448463,6681.35348448463,6681.35348448463,6681.35348448463,6674.174573852138,6674.174573852138,6674.174573852138,6674.174573852138,6674.174573852138,1351.9092553362557
