Subset_ID,Sv0,Sv1,Sv2,Sv3,Sv4,Sv5,Sv6,Sv7,Sv8,Sv9
0,481.63371903178665,6681.655753255274,6681.655753255274,6681.655753255274,6681.655753255274,6681.655753255274,6681.655753255274,6681.655753255274,6681.655753255274,6681.655753255274
1,6635.743693886653,490.6219249192311,6635.743693886653,6635.743693886653,6635.743693886653,6635.743693886653,6635.743693886653,6635.743693886653,6635.743693886653,6635.743693886653
2,6692.245786084883,6692.245786084883,476.72903979055457,6692.245786084883,6692.245786084883,6692.245786084883,6692.245786084883,6692.245786084883,6692.245786084883,6692.245786084883
3,6621.143767824177,6621.143767824177,6621.143767824177,457.9316307422591,6621.143767824177,6621.143767824177,6621.143767824177,6621.143767824177,6621.143767824177,6621.143767824177
4,6617.949344624159,6617.949344624159,6617.949344624159,6617.949344624159,470.6103607087177,6617.949344624159,6617.949344624159,6617.949344624159,6617.949344624159,6617.949344624159
5,6630.523896431033,6630.523896431033,6630.523896431033,6630.523896431033,6630.523896431033,467.8520772119002,6630.523896431033,6630.523896431033,6630.523896431033,6630.523896431033
6,6662.324315785375,6662.324315785375,6662.324315785375,6662.324315785375,6662.324315785375,6662.324315785375,483.7779965410746,6662.324315785375,6662.324315785375,6662.324315785375
7,6602.843653005379,6602.843653005379,6602.843653005379,6602.843653005379,6602.843653005379,6602.843653005379,6602.843653005379,485.53296624768444,6602.843653005379,6602.843653005379
8,6669.492464826768,6669.492464826768,6669.492464826768,6669.492464826768,6669.492464826768,6669.492464826768,6669.492464826768,6669.492464826768,494.49376233032655,6669.492464826768
9,6689.28558840741,6689.28558840741,6689.28558840741,6689.28558840741,6689.28558840741,6689.28558840741,6689.28558840741,6689.28558840741,6689.28558840741,487.8248473669089
