Subset_ID,Sv0,Sv1,Sv2,Sv3,Sv4,Sv5,Sv6,Sv7,Sv8,Sv9
0,2532.7140028511512,6601.747708636748,6601.747708636748,6601.747708636748,6601.747708636748,6601.747708636748,6601.747708636748,6601.747708636748,6601.747708636748,6601.747708636748
1,6698.798678215697,2577.3854851158085,6698.798678215697,6698.798678215697,6698.798678215697,6698.798678215697,6698.798678215697,6698.798678215697,6698.798678215697,6698.798678215697
2,6660.181165898029,6660.181165898029,2570.7908945549416,6660.181165898029,6660.181165898029,6660.181165898029,6660.181165898029,6660.181165898029,6660.181165898029,6660.181165898029
3,6733.781833274743,6733.781833274743,6733.781833274743,2586.2181517239287,6733.781833274743,6733.781833274743,6733.781833274743,6733.781833274743,6733.781833274743,6733.781833274743
4,6529.582378078182,6529.582378078182,6529.582378078182,6529.582378078182,2507.324658685669,6529.582378078182,6529.582378078182,6529.582378078182,6529.582378078182,6529.582378078182
5,6656.998593137082,6656.998593137082,6656.998593137082,6656.998593137082,6656.998593137082,2548.6223775050375,6656.998593137082,6656.998593137082,6656.998593137082,6656.998593137082
6,6677.409542375361,6677.409542375361,6677.409542375361,6677.409542375361,6677.409542375361,6677.409542375361,2562.5800123827116,6677.409542375361,6677.409542375361,6677.409542375361
7,6658.571374738946,6658.571374738946,6658.571374738946,6658.571374738946,6658.571374738946,6658.571374738946,6658.571374738946,2556.193684229164,6658.571374738946,6658.571374738946
8,6693.348375993038,6693.348375993038,6693.348375993038,6693.348375993038,6693.348375993038,6693.348375993038,6693.348375993038,6693.348375993038,2563.825007581292,6693.348375993038
9,6734.062374050929,6734.062374050929,6734.062374050929,6734.062374050929,6734.062374050929,6734.062374050929,6734.062374050929,6734.062374050929,6734.062374050929,2566.0526216087655
