Subset_ID,Sv0,Sv1,Sv2,Sv3,Sv4,Sv5,Sv6,Sv7,Sv8,Sv9
0,976.8329856427516,6643.999499362687,6643.999499362687,6643.999499362687,6643.999499362687,6643.999499362687,6643.999499362687,6643.999499362687,6643.999499362687,6643.999499362687
1,6607.148300707411,968.5768377503608,6607.148300707411,6607.148300707411,6607.148300707411,6607.148300707411,6607.148300707411,6607.148300707411,6607.148300707411,6607.148300707411
2,6675.628965346701,6675.628965346701,962.161795404616,6675.628965346701,6675.628965346701,6675.628965346701,6675.628965346701,6675.628965346701,6675.628965346701,6675.628965346701
3,6627.669177254915,6627.669177254915,6627.669177254915,961.1152198679353,6627.669177254915,6627.669177254915,6627.669177254915,6627.669177254915,6627.669177254915,6627.669177254915
4,6667.871130337188,6667.871130337188,6667.871130337188,6667.871130337188,953.6109708513707,6667.871130337188,6667.871130337188,6667.871130337188,6667.871130337188,6667.871130337188
5,6651.179001478173,6651.179001478173,6651.179001478173,6651.179001478173,6651.179001478173,974.3599934258398,6651.179001478173,6651.179001478173,6651.179001478173,6651.179001478173
6,6649.6205179039325,6649.6205179039325,6649.6205179039325,6649.6205179039325,6649.6205179039325,6649.6205179039325,966.4709143743753,6649.6205179039325,6649.6205179039325,6649.6205179039325
7,6638.297833897676,6638.297833897676,6638.297833897676,6638.297833897676,6638.297833897676,6638.297833897676,6638.297833897676,951.3244500231076,6638.297833897676,6638.297833897676
8,6712.013062509903,6712.013062509903,6712.013062509903,6712.013062509903,6712.013062509903,6712.013062509903,6712.013062509903,6712.013062509903,985.9584981107195,6712.013062509903
9,6657.661789319614,6657.661789319614,6657.661789319614,6657.661789319614,6657.661789319614,6657.661789319614,6657.661789319614,6657.661789319614,6657.661789319614,958.6745971736802
