Subset_ID,Sv0,Sv1,Sv2,Sv3,Sv4,Sv5,Sv6,Sv7,Sv8,Sv9
0,3975.418118232176,6623.747512409406,6623.747512409406,6623.747512409406,6623.747512409406,6623.747512409406,6623.747512409406,6623.747512409406,6623.747512409406,6623.747512409406
1,6685.25272888935,4012.712904482236,6685.25272888935,6685.25272888935,6685.25272888935,6685.25272888935,6685.25272888935,6685.25272888935,6685.25272888935,6685.25272888935
2,6690.687458959319,6690.687458959319,4029.9436909713204,6690.687458959319,6690.687458959319,6690.687458959319,6690.687458959319,6690.687458959319,6690.687458959319,6690.687458959319
3,6710.224346639948,6710.224346639948,6710.224346639948,4010.9274402716396,6710.224346639948,6710.224346639948,6710.224346639948,6710.224346639948,6710.224346639948,6710.224346639948
4,6708.686657028759,6708.686657028759,6708.686657028759,6708.686657028759,4009.3996733131307,6708.686657028759,6708.686657028759,6708.686657028759,6708.686657028759,6708.686657028759
5,6702.98395807741,6702.98395807741,6702.98395807741,6702.98395807741,6702.98395807741,4022.967245042028,6702.98395807741,6702.98395807741,6702.98395807741,6705.259154372137
6,6625.092764991357,6625.092764991357,6625.092764991357,6625.092764991357,6625.092764991357,6625.092764991357,3982.0421155252416,6625.092764991357,6625.092764991357,6627.750509629601
7,6708.781050411789,6708.781050411789,6708.781050411789,6708.781050411789,6708.781050411789,6708.781050411789,6708.781050411789,4032.4891249918924,6708.781050411789,6711.263444725536
8,6636.918492514573,6636.918492514573,6636.918492514573,6636.918492514573,6636.918492514573,6636.918492514573,6636.918492514573,6636.918492514573,3987.389732810349,6639.641222112845
9,6611.292685618721,6611.292685618721,6611.292685618721,6611.292685618721,6611.292685618721,6611.292685618721,6611.292685618721,6611.292685618721,6611.292685618721,3989.757899223756
