Subset_ID,Shapely_Value
0,6657.804699949044
1,6627.848675731637
2,6632.430130320633
3,6618.792230235593
4,6647.503120081989
5,6634.275284912416
6,6598.828759794635
7,6637.827291596956
8,3980.1729540118085
9,6655.600560378592
