Subset_ID,Sv0,Sv1,Sv2,Sv3,Sv4,Sv5,Sv6,Sv7,Sv8,Sv9
0,2912.865654960073,6713.258414185769,6713.258414185769,6713.258414185769,6713.258414185769,6713.258414185769,6713.258414185769,6713.258414185769,6713.258414185769,6713.258414185769
1,6644.871429039644,2867.5755590097415,6644.871429039644,6644.871429039644,6644.871429039644,6644.871429039644,6644.871429039644,6644.871429039644,6644.871429039644,6644.871429039644
2,6649.8495155737655,6649.8495155737655,2865.429213730377,6649.8495155737655,6649.8495155737655,6649.8495155737655,6649.8495155737655,6649.8495155737655,6649.8495155737655,6649.8495155737655
3,6630.3990138248655,6630.3990138248655,6630.3990138248655,2883.5623694956375,6630.3990138248655,6630.3990138248655,6630.3990138248655,6630.3990138248655,6630.3990138248655,6630.3990138248655
4,6666.014239040001,6666.014239040001,6666.014239040001,6666.014239040001,2871.2345301331293,6666.014239040001,6666.014239040001,6666.014239040001,6666.014239040001,6666.014239040001
5,6659.032134185101,6659.032134185101,6659.032134185101,6659.032134185101,6659.032134185101,2881.932544285196,6659.032134185101,6659.032134185101,6659.032134185101,6659.032134185101
6,6690.305326856286,6690.305326856286,6690.305326856286,6690.305326856286,6690.305326856286,6690.305326856286,2889.1891139970694,6690.305326856286,6690.305326856286,6690.305326856286
7,6673.638897702007,6673.638897702007,6673.638897702007,6673.638897702007,6673.638897702007,6673.638897702007,6673.638897702007,2884.3297645212638,6673.638897702007,6673.638897702007
8,6729.032811622654,6729.032811622654,6729.032811622654,6729.032811622654,6729.032811622654,6729.032811622654,6729.032811622654,6729.032811622654,2895.004824123951,6729.032811622654
9,6589.282653451938,6589.282653451938,6589.282653451938,6589.282653451938,6589.282653451938,6589.282653451938,6589.282653451938,6589.282653451938,6589.282653451938,2827.985615158762
