Subset_ID,Sv0,Sv1,Sv2,Sv3,Sv4,Sv5,Sv6,Sv7,Sv8,Sv9
0,1456.2897979597356,6680.481173213037,6680.481173213037,6680.481173213037,6680.481173213037,6680.481173213037,6680.481173213037,6680.481173213037,6680.481173213037,6680.481173213037
1,6637.911045227405,1453.048049828998,6637.911045227405,6637.911045227405,6637.911045227405,6637.911045227405,6637.911045227405,6637.911045227405,6637.911045227405,6637.911045227405
2,6624.366185269615,6624.366185269615,1416.7035448283868,6624.366185269615,6624.366185269615,6624.366185269615,6624.366185269615,6624.366185269615,6624.366185269615,6624.366185269615
3,6645.20709316991,6645.20709316991,6645.20709316991,1431.7163104634149,6645.20709316991,6645.20709316991,6645.20709316991,6645.20709316991,6645.20709316991,6645.20709316991
4,6669.947626886233,6669.947626886233,6669.947626886233,6669.947626886233,1442.9032592306432,6669.947626886233,6669.947626886233,6669.947626886233,6669.947626886233,6669.947626886233
5,6618.424835885699,6618.424835885699,6618.424835885699,6618.424835885699,6618.424835885699,1420.135181308613,6618.424835885699,6618.424835885699,6618.424835885699,6618.424835885699
6,6659.428174392028,6659.428174392028,6659.428174392028,6659.428174392028,6659.428174392028,6659.428174392028,1441.8493444379271,6659.428174392028,6659.428174392028,6659.428174392028
7,6643.1181571263005,6643.1181571263005,6643.1181571263005,6643.1181571263005,6643.1181571263005,6643.1181571263005,6643.1181571263005,1441.4575965858785,6643.1181571263005,6643.1181571263005
8,6654.958228713941,6654.958228713941,6654.958228713941,6654.958228713941,6654.958228713941,6654.958228713941,6654.958228713941,6654.958228713941,1457.093829614885,6654.958228713941
9,6677.082237050063,6677.082237050063,6677.082237050063,6677.082237050063,6677.082237050063,6677.082237050063,6677.082237050063,6677.082237050063,6677.082237050063,1444.2564553969378
