Subset_ID,Sv0,Sv1,Sv2,Sv3,Sv4,Sv5,Sv6,Sv7,Sv8,Sv9
0,2157.8403570497653,6632.821278841671,6632.821278841671,6632.821278841671,6632.821278841671,6635.573345206687,6635.573345206687,6635.573345206687,6635.573345206687,6635.573345206687
1,6669.8464344048225,2149.8460628283137,6669.8464344048225,6669.8464344048225,6669.8464344048225,6672.478977965426,6672.478977965426,6672.478977965426,6672.478977965426,6672.478977965426
2,6655.470550907247,6655.470550907247,2148.2090069775554,6655.470550907247,6655.470550907247,6658.164387301788,6658.164387301788,6658.164387301788,6658.164387301788,6658.164387301788
3,6607.019877568371,6607.019877568371,6607.019877568371,2125.187085064737,6607.019877568371,6609.716073419952,6609.716073419952,6609.716073419952,6609.716073419952,6609.716073419952
4,6705.397444683801,6705.397444683801,6705.397444683801,6705.397444683801,2168.674490565833,6708.220604992495,6708.220604992495,6708.220604992495,6708.220604992495,6708.220604992495
5,6704.618714510739,6704.618714510739,6704.618714510739,6704.618714510739,6704.618714510739,2172.9792863838916,6707.256438094939,6707.256438094939,6707.256438094939,6707.256438094939
6,6632.5754476332095,6632.5754476332095,6632.5754476332095,6632.5754476332095,6632.5754476332095,6635.352313339421,2145.1669105020255,6635.352313339421,6635.352313339421,6635.352313339421
7,6690.366234807569,6690.366234807569,6690.366234807569,6690.366234807569,6692.649428093671,6693.154847141572,6693.154847141572,2177.9079646789924,6693.154847141572,6693.154847141572
8,6640.783936556421,6640.783936556421,6640.783936556421,6640.783936556421,6643.554146494358,6643.554146494358,6643.554146494358,6643.554146494358,2154.0548516968815,6643.554146494358
9,6677.51737060183,6677.51737060183,6677.51737060183,6677.51737060183,6680.071138349738,6680.071138349738,6680.071138349738,6680.071138349738,6680.071138349738,2127.7500107951555
