Subset_ID,Sv0,Sv1,Sv2,Sv3,Sv4,Sv5,Sv6,Sv7,Sv8,Sv9
0,2735.9355681704183,6656.340651566611,6656.340651566611,6656.340651566611,6656.340651566611,6656.340651566611,6656.340651566611,6656.340651566611,6656.340651566611,6656.340651566611
1,6684.041511699153,2737.1231882955735,6684.041511699153,6684.041511699153,6684.041511699153,6684.041511699153,6684.041511699153,6684.041511699153,6684.041511699153,6684.041511699153
2,6644.320961607079,6644.320961607079,2721.816979835353,6644.320961607079,6644.320961607079,6644.320961607079,6644.320961607079,6644.320961607079,6644.320961607079,6644.320961607079
3,6643.433599185859,6643.433599185859,6643.433599185859,2711.3144185519923,6643.433599185859,6643.433599185859,6643.433599185859,6643.433599185859,6643.433599185859,6643.433599185859
4,6650.02006324321,6650.02006324321,6650.02006324321,6650.02006324321,2723.8582345555974,6650.02006324321,6650.02006324321,6650.02006324321,6650.02006324321,6650.02006324321
5,6681.5355126659115,6681.5355126659115,6681.5355126659115,6681.5355126659115,6681.5355126659115,2728.633719345783,6681.5355126659115,6681.5355126659115,6681.5355126659115,6681.5355126659115
6,6678.973221673285,6678.973221673285,6678.973221673285,6678.973221673285,6678.973221673285,6678.973221673285,2745.70103910035,6678.973221673285,6678.973221673285,6678.973221673285
7,6673.848728555005,6673.848728555005,6673.848728555005,6673.848728555005,6673.848728555005,6673.848728555005,6673.848728555005,2736.9098162827636,6673.848728555005,6673.848728555005
8,6654.031716948326,6654.031716948326,6654.031716948326,6654.031716948326,6654.031716948326,6654.031716948326,6654.031716948326,6654.031716948326,2732.6611345451583,6654.031716948326
9,6653.334162244891,6653.334162244891,6653.334162244891,6653.334162244891,6653.334162244891,6653.334162244891,6653.334162244891,6653.334162244891,6653.334162244891,2706.8722399294234
