Subset_ID,Sv0,Sv1,Sv2,Sv3,Sv4,Sv5,Sv6,Sv7,Sv8,Sv9
0,3034.152926332573,6671.0736168060175,6671.0736168060175,6671.0736168060175,6671.0736168060175,6671.0736168060175,6671.0736168060175,6671.0736168060175,6671.0736168060175,6671.0736168060175
1,6660.8699930511775,3019.5931860391383,6660.8699930511775,6660.8699930511775,6660.8699930511775,6660.8699930511775,6660.8699930511775,6660.8699930511775,6660.8699930511775,6660.8699930511775
2,6679.890729720968,6679.890729720968,3042.607961199513,6679.890729720968,6679.890729720968,6679.890729720968,6679.890729720968,6679.890729720968,6679.890729720968,6679.890729720968
3,6702.677921599166,6702.677921599166,6702.677921599166,3017.525296349895,6702.677921599166,6702.677921599166,6702.677921599166,6702.677921599166,6702.677921599166,6702.677921599166
4,6640.514130022193,6640.514130022193,6640.514130022193,6640.514130022193,3036.659226761051,6640.514130022193,6640.514130022193,6640.514130022193,6640.514130022193,6640.514130022193
5,6627.744672411822,6627.744672411822,6627.744672411822,6627.744672411822,6627.744672411822,3032.5164226804613,6627.744672411822,6627.744672411822,6627.744672411822,6627.744672411822
6,6658.724132681805,6658.724132681805,6658.724132681805,6658.724132681805,6658.724132681805,6658.724132681805,3054.0308908414877,6658.724132681805,6658.724132681805,6658.724132681805
7,6668.077383335584,6668.077383335584,6668.077383335584,6668.077383335584,6668.077383335584,6668.077383335584,6668.077383335584,3030.0805998630763,6668.077383335584,6668.077383335584
8,6701.519154777853,6701.519154777853,6701.519154777853,6701.519154777853,6701.519154777853,6701.519154777853,6701.519154777853,6701.519154777853,3087.131321059143,6701.519154777853
9,6661.787088000453,6661.787088000453,6661.787088000453,6661.787088000453,6661.787088000453,6661.787088000453,6661.787088000453,6661.787088000453,6661.787088000453,3046.680012256565
