.    window stride  test_set  mal-benign-ratio  embed     mode    acc  precision  recall     F1
21     256    256      1.00              0.20   32.0  mallstm  0.999      0.205   0.205  0.205
20     256    256      1.00              0.19   32.0  mallstm  0.998      0.181   0.181  0.181
19     256    256      1.00              0.18   32.0  mallstm  0.998      0.180   0.180  0.180
18     256    256      1.00              0.17   32.0  mallstm  0.997      0.168   0.168  0.168
17     256    256      1.00              0.16   32.0  mallstm  0.996      0.163   0.163  0.163
16     256    256      1.00              0.15   32.0  mallstm  0.999      0.149   0.149  0.149
15     256    256      1.00              0.14   32.0  mallstm  0.998      0.140   0.140  0.140
14     256    256      1.00              0.13   32.0  mallstm  0.997      0.134   0.134  0.134
13     256    256      1.00              0.12   32.0  mallstm  0.998      0.115   0.115  0.115
12     256    256      1.00              0.11   32.0  mallstm  0.998      0.111   0.111  0.111
11     256    256      1.00              0.10   32.0  mallstm  0.999      0.096   0.096  0.096
10     256    256      1.00              0.09   32.0  mallstm  0.998      0.084   0.084  0.084
9      256    256      1.00              0.08   32.0  mallstm  0.998      0.082   0.082  0.082
8      256    256      1.00              0.07   32.0  mallstm  0.997      0.070   0.070  0.070
7      256    256      1.00              0.06   32.0  mallstm  0.997      0.059   0.059  0.059
6      256    256      1.00              0.05   32.0  mallstm  0.997      0.050   0.050  0.050
5      256    256      1.00              0.04   32.0  mallstm  0.995      0.040   0.040  0.040
4      256    256      1.00              0.03   32.0  mallstm  0.997      0.030   0.030  0.030
3      256    256      1.00              0.02   32.0  mallstm  0.997      0.020   0.020  0.020
2      256    256      1.00              0.01   32.0  mallstm  0.997      0.010   0.010  0.010
1      256    256      1.00              0.00   32.0  mallstm  0.998      0.000   0.000  0.000
