Subset_ID,Sv0,Sv1,Sv2,Sv3,Sv4,Sv5,Sv6,Sv7,Sv8,Sv9
0,4245.007028585416,6610.3607900248535,6610.3607900248535,6610.3607900248535,6610.3607900248535,6610.3607900248535,6610.3607900248535,6610.3607900248535,6610.3607900248535,6610.3607900248535
1,6641.338740291004,4239.84763591945,6641.338740291004,6641.338740291004,6641.338740291004,6641.338740291004,6641.338740291004,6641.338740291004,6641.338740291004,6641.338740291004
2,6680.195524553977,6680.195524553977,4242.305375377524,6680.195524553977,6680.195524553977,6680.195524553977,6680.195524553977,6680.195524553977,6680.195524553977,6680.195524553977
3,6646.7050544752055,6646.7050544752055,6646.7050544752055,4248.534056067055,6646.7050544752055,6646.7050544752055,6646.7050544752055,6646.7050544752055,6646.7050544752055,6646.7050544752055
4,6607.771367894036,6607.771367894036,6607.771367894036,6607.771367894036,4245.827288555454,6607.771367894036,6607.771367894036,6607.771367894036,6607.771367894036,6607.771367894036
5,6772.778526458606,6772.778526458606,6772.778526458606,6772.778526458606,6772.778526458606,4313.522188377433,6772.778526458606,6772.778526458606,6772.778526458606,6772.778526458606
6,6692.157497157653,6692.157497157653,6692.157497157653,6692.157497157653,6692.157497157653,6692.157497157653,4268.653328116674,6692.157497157653,6692.157497157653,6692.157497157653
7,6696.628113674509,6696.628113674509,6696.628113674509,6696.628113674509,6696.628113674509,6696.628113674509,6696.628113674509,4266.578073139447,6696.628113674509,6696.628113674509
8,6687.518692353636,6687.518692353636,6687.518692353636,6687.518692353636,6687.518692353636,6687.518692353636,6687.518692353636,6687.518692353636,4289.658255608812,6687.518692353636
9,6668.213348657034,6668.213348657034,6668.213348657034,6668.213348657034,6668.213348657034,6668.213348657034,6668.213348657034,6668.213348657034,6668.213348657034,4254.676085309587
