Subset_ID,Sv0,Sv1,Sv2,Sv3,Sv4,Sv5,Sv6,Sv7,Sv8,Sv9
0,6398.050649004143,6678.961714119299,6678.961714119299,6678.961714119299,6678.961714119299,6678.961714119299,6678.961714119299,6678.961714119299,6678.961714119299,6678.961714119299
1,6672.215889549876,6391.920685057528,6672.215889549876,6672.215889549876,6672.215889549876,6672.215889549876,6672.215889549876,6672.215889549876,6672.215889549876,6672.215889549876
2,6669.104186528002,6669.104186528002,6398.78471054135,6669.104186528002,6669.104186528002,6669.104186528002,6669.104186528002,6669.104186528002,6669.104186528002,6669.104186528002
3,6672.548746090981,6672.548746090981,6672.548746090981,6408.582280712964,6672.548746090981,6672.548746090981,6672.548746090981,6672.548746090981,6672.548746090981,6672.548746090981
4,6679.948432437439,6679.948432437439,6679.948432437439,6679.948432437439,6412.040838194546,6679.948432437439,6679.948432437439,6679.948432437439,6679.948432437439,6679.948432437439
5,6676.158101552064,6676.158101552064,6676.158101552064,6676.158101552064,6676.158101552064,6415.205861244285,6676.158101552064,6676.158101552064,6676.158101552064,6676.158101552064
6,6644.192993787444,6644.192993787444,6644.192993787444,6644.192993787444,6644.192993787444,6644.192993787444,6373.198247490465,6644.192993787444,6644.192993787444,6644.192993787444
7,6671.097293900668,6671.097293900668,6671.097293900668,6671.097293900668,6671.097293900668,6671.097293900668,6671.097293900668,6397.5929982174575,6671.097293900668,6671.097293900668
8,6692.986460980879,6692.986460980879,6692.986460980879,6692.986460980879,6692.986460980879,6692.986460980879,6692.986460980879,6692.986460980879,6441.890563587409,6692.986460980879
9,6643.0736466263925,6643.0736466263925,6643.0736466263925,6643.0736466263925,6643.0736466263925,6643.0736466263925,6643.0736466263925,6643.0736466263925,6643.0736466263925,6381.618714286438
