Subset_ID,Sv0,Sv1,Sv2,Sv3,Sv4,Sv5,Sv6,Sv7,Sv8,Sv9
0,5841.951695390412,6683.023633973219,6683.023633973219,6683.023633973219,6683.023633973219,6683.023633973219,6683.023633973219,6683.023633973219,6683.023633973219,6683.023633973219
1,6715.782098557095,5917.91193466299,6715.782098557095,6715.782098557095,6715.782098557095,6715.782098557095,6715.782098557095,6715.782098557095,6715.782098557095,6715.782098557095
2,6702.53325144006,6702.53325144006,5893.785228169179,6702.53325144006,6702.53325144006,6702.53325144006,6702.53325144006,6702.53325144006,6702.53325144006,6702.53325144006
3,6677.816243395841,6677.816243395841,6677.816243395841,5875.234771629395,6677.816243395841,6677.816243395841,6677.816243395841,6677.816243395841,6677.816243395841,6677.816243395841
4,6696.604913206553,6696.604913206553,6696.604913206553,6696.604913206553,5890.242682428652,6696.604913206553,6696.604913206553,6696.604913206553,6696.604913206553,6696.604913206553
5,6612.36781189545,6612.36781189545,6612.36781189545,6612.36781189545,6612.36781189545,5815.571527624806,6612.36781189545,6612.36781189545,6612.36781189545,6612.36781189545
6,6705.336280287129,6705.336280287129,6705.336280287129,6705.336280287129,6705.336280287129,6705.336280287129,5893.99590553706,6705.336280287129,6705.336280287129,6705.336280287129
7,6623.503469668321,6623.503469668321,6623.503469668321,6623.503469668321,6623.503469668321,6623.503469668321,6623.503469668321,5844.476975318574,6623.503469668321,6623.503469668321
8,6679.657995721185,6679.657995721185,6679.657995721185,6679.657995721185,6679.657995721185,6679.657995721185,6679.657995721185,6679.657995721185,5865.610808449819,6679.657995721185
9,6628.400562556716,6628.400562556716,6628.400562556716,6628.400562556716,6628.400562556716,6628.400562556716,6628.400562556716,6628.400562556716,6628.400562556716,5817.77121678255
